id;scheduled_time;status;pickup_address;dropoff_address;child_id;driver_id
1;2024-05-14T06:30:35;COMPLETED;hm impassioned;pouch ritual voluntarily;1;1
2;2024-05-14T13:29:23;COMPLETED;loudly uh-huh dam;misty since whether;2;2
3;2024-05-14T09:20:26;IN_PROGRESS;boohoo willfully;stem jam-packed;3;3
4;2024-05-15T00:42:39;SCHEDULED;inasmuch;inasmuch pfft;4;4
5;2024-05-14T04:11:17;CANCELLED;that even;outside deep short-term;5;5
6;2024-05-14T04:15:54;SCHEDULED;daintily excepting while;ickXX;6;6
7;2024-05-14T15:29:00;SCHEDULED;oh moralise;whoaX;7;7
8;2024-05-15T01:05:42;IN_PROGRESS;vaguely;uh-huh gripping;8;8
9;2024-05-14T15:32:37;CANCELLED;inside aw clap;failing atop moral;9;9
10;2024-05-14T19:48:35;CANCELLED;certainly midst load;vainX;10;10
